provnum,overall_rating,survey_rating,staffing_rating,RN_staffing_rating,quality_rating,ssf,restot,ownership
335809,3,3,1,2,5,N,153,"Non profit - Corporation"
335810,2,3,1,1,3,N,157,"Non profit - Corporation"
335811,5,4,3,2,5,N,244,"For profit - Corporation"
15076,2,1,2,1,5,N,188,"Non profit - Corporation"
335812,1,1,3,2,4,N,178,"For profit - Corporation"
335814,5,5,3,3,5,N,232,"For profit - Corporation"
335815,2,2,2,2,3,N,116,"Non profit - Corporation"
335816,4,4,4,5,4,N,47,"Non profit - Church related"
335817,2,2,1,2,5,N,140,"For profit - Corporation"
335818,3,2,3,3,5,N,304,"For profit - Corporation"
335819,5,5,1,1,5,N,223,"For profit - Partnership"
335820,5,4,3,4,5,N,260,"For profit - Limited Liability company"
335821,5,3,4,3,5,N,218,"Non profit - Corporation"
335822,5,5,5,5,5,N,21,"Non profit - Corporation"
15083,4,3,3,3,5,N,63,"For profit - Partnership"
335823,5,5,5,5,5,N,24,"Government - State"
335824,3,2,2,2,5,N,151,"For profit - Corporation"
335825,3,2,3,3,5,N,27,"For profit - Individual"
335826,5,4,3,3,5,N,227,"Non profit - Corporation"
335827,3,2,4,3,2,N,131,"For profit - Individual"
335828,4,4,3,3,3,N,157,"For profit - Corporation"
335829,4,3,4,4,4,N,106,"Non profit - Corporation"
335830,2,1,5,5,5,N,86,"Non profit - Corporation"
335831,3,2,2,2,5,N,266,"For profit - Corporation"
335832,5,4,5,5,5,N,232,"Government - State"
15084,5,5,4,3,4,N,100,"For profit - Corporation"
335833,5,4,4,4,5,N,59,"Non profit - Corporation"
335834,2,1,4,4,4,N,277,"Non profit - Corporation"
335835,4,2,4,3,5,N,111,"Non profit - Corporation"
335837,4,4,4,3,4,N,181,"Non profit - Corporation"
335838,5,5,3,4,5,N,272,"For profit - Corporation"
335839,3,2,2,1,5,N,232,"For profit - Corporation"
335840,3,4,1,2,4,Y,308,"For profit - Corporation"
335842,5,5,5,5,5,N,41,"Non profit - Corporation"
335843,4,3,3,3,5,N,245,"Non profit - Church related"
335844,5,4,5,5,4,N,16,"Non profit - Corporation"
15089,5,4,4,4,5,N,60,"For profit - Corporation"
335845,4,4,2,2,3,N,275,"For profit - Corporation"
335847,3,4,1,2,4,N,261,"For profit - Corporation"
335848,5,4,5,5,5,N,37,"Non profit - Corporation"
335849,5,4,4,3,5,N,30,"Non profit - Corporation"
335850,2,2,2,3,4,N,269,"For profit - Corporation"
335851,4,4,5,5,1,N,17,"Non profit - Other"
335853,5,4,5,5,5,N,14,"Non profit - Corporation"
335854,2,1,4,3,5,N,45,"Non profit - Church related"
335856,5,5,5,5,5,N,5,"Non profit - Corporation"
