population_size,poverty_rate,mammogram_rate,uninsured_rate,prim_care_phys_rate,community_health_center_ind
16514,18.2,-1111.1,7.9,60.6,1
7161,27.2,-1111.1,2,27.9,2
199486,23.8,82.9,62.9,141.9,1
83222,12.8,92.9,31.3,85.3,2
4255,17.7,-1111.1,1.4,23.5,1
15133,21.9,-1111.1,4.5,13.2,2
9091,23.1,-1111.1,2.8,99,2
63913,17.9,-1111.1,18.4,67.3,2
25493,17.8,-1111.1,7.2,74.5,2
4666,27.1,-1111.1,1.4,64.3,1
32449,28.7,-1111.1,8.8,58.6,1
6414,22.4,-1111.1,2.4,0,1
1863,26.6,-1111.1,0.6,0,1
23469,24.5,-1111.1,8.8,21.3,1
8766,25.8,-1111.1,2.9,11.4,2
13355,33,-1111.1,2.4,37.4,2
10293,28.9,-1111.1,2.6,9.7,1
45778,20.7,-1111.1,12.2,89.6,1
42434,21.3,-1111.1,16.6,99,2
28102,24.2,-1111.1,10.8,113.9,1
11042,14,-1111.1,4.2,63.4,2
7076,28.7,-1111.1,1.9,28.3,1
64233,17.9,86.7,16.5,60.7,1
9228,28.6,-1111.1,2.9,54.2,2
10257,21.1,-1111.1,3.3,0,1
21351,13.8,-1111.1,8.1,70.3,2
27530,18.6,-1111.1,7.3,61.8,2
64799,15.2,76.7,16.5,24.7,1
85813,12.4,88.9,25.3,43.1,2
35879,20.7,79.8,10,97.6,1
5844,25.7,-1111.1,1.6,17.1,1
21006,23.4,-1111.1,5.5,80.9,1
29509,20.3,-1111.1,8.1,50.8,2
2164,19.5,-1111.1,0.9,46.2,2
6877,35.2,-1111.1,2.1,14.5,2
25299,14.3,-1111.1,10.6,19.8,2
93835,14.1,78,36.9,76.7,2
8750,30.8,-1111.1,2.2,0,1
10282,21.8,-1111.1,3,58.4,1
10026,19.3,-1111.1,3.3,10,1
21306,21.1,-1111.1,6.3,32.9,2
175784,13.3,79.6,35.3,83.6,1
905034,8.5,81.4,133.3,124.5,1
117,-2222.2,-1111.1,-4.4,0,2
63689,9.9,80.1,13.2,98.9,1
143574,9,79.2,27.7,94.7,1
380920,9,78.7,90.9,94.5,1
3499,13.2,-1111.1,1.5,28.6,1
80812,14.1,71.4,18.5,85.4,1
5798,11.7,-1111.1,1.5,86.2,2
9352,15,-1111.1,2.4,32.1,1
43903,13,68.4,14.3,22.8,1
21731,7.1,-1111.1,9.9,115,2
7504,11.2,-1111.1,3,13.3,2
41168,15.1,71.1,13.1,60.7,1
99135,10.9,69.9,25.7,50.4,1
10962,15,-1111.1,3.4,73,1
2751,14.9,-1111.1,0.9,72.7,2
1126,9.2,-1111.1,0.5,0,1
183939,14.9,68.1,58,35.9,1
6826,10.9,-1111.1,1.8,29.3,2
21348,15,-1111.1,7.1,51.5,1
910,16.5,-1111.1,0.5,0,2
8176,15.9,-1111.1,2,110.1,2
4254,13.3,-1111.1,1.6,23.5,2
28997,14,-1111.1,9,69,1
12454,9.3,-1111.1,4.4,24.1,2
12551,13.6,-1111.1,5.5,0,1
16513,14.8,-1111.1,5.5,54.5,1
14295,12.6,-1111.1,6.1,42,2
15448,18.7,66,4.7,64.7,2
23860,10.1,-1111.1,8.7,4.2,1
20468,12.9,-1111.1,7.9,44,1
137475,9.4,77.3,36.3,69.1,1
35906,20.7,69,12.2,64.1,2
7808,15.4,-1111.1,2.4,38.4,2
3594,14.2,-1111.1,1,0,2
4503,10.7,-1111.1,2,22.2,2
37456,25.1,-1111.1,17.4,48.1,2
18645,13.4,-1111.1,6.7,21.5,1
38975,12.9,72.9,8.6,82.1,1
4130,11.7,-1111.1,1.5,24.2,2
10877,17.5,-1111.1,5,9.2,1
22966,14.6,72.1,6.2,21.8,1
7683,15.2,-1111.1,3,26,1
12913,18.2,-1111.1,3,69.7,2
8833,7.9,-1111.1,4.6,67.9,2
74284,14.5,71.6,23.1,55.2,1
8862,9.6,-1111.1,4.1,158,2
10206,16.3,-1111.1,3.2,29.4,2
66897,12.4,-1111.1,14.4,83.7,1
8152,29.5,-1111.1,1.2,24.5,1
18253,14.3,-1111.1,3.2,38.3,2
54142,7.5,-1111.1,16.8,51.7,1
6573,15.1,-1111.1,0.9,15.2,2
34933,9.9,-1111.1,8.7,48.7,2
5101,10.8,-1111.1,1.7,58.8,2
15841,11.4,-1111.1,3.9,37.9,2
13574,12.4,-1111.1,4.7,7.4,1
193636,18.7,90.7,63.5,122.4,1
34501,13.6,-1111.1,5.9,46.4,2
16834,12.2,-1111.1,3.5,29.7,2
13767,13.8,-1111.1,3.1,36.3,1
36711,7.8,-1111.1,8.3,40.9,1
52172,19.2,-1111.1,14,53.7,2
5294664,14.8,80.3,1,135.6,1
19555,13.6,-1111.1,3.8,35.8,2
10846,11.7,-1111.1,3,9.2,1
106321,12.1,-1111.1,33.4,32.9,2
16354,10.2,-1111.1,3.3,48.9,2
19448,9.2,-1111.1,5.3,46.3,2
930528,5.8,78.2,203.4,149.4,1
18692,13.3,-1111.1,3.7,32.1,2
6501,11.1,-1111.1,1.8,0,2
34275,10.8,-1111.1,8,72.9,1
20981,15.1,-1111.1,4.3,28.6,1
14050,9.8,-1111.1,3.1,56.9,2
39488,18.3,-1111.1,10.9,48.1,1
36719,15.1,-1111.1,7.4,32.7,2
5982,18.6,-1111.1,1.6,16.7,1
13644,15.1,-1111.1,3.3,36.6,2
47958,6.5,-1111.1,9.9,41.7,2
8267,12.9,-1111.1,2.1,36.3,1
18691,11.3,-1111.1,4.2,53.5,1
4381,20.6,-1111.1,1.2,45.7,1
7477,11.8,-1111.1,2.3,40.1,1
49569,9.9,-1111.1,11.3,42.4,2
30285,10.8,-1111.1,7.9,42.9,1
58264,22.9,-1111.1,23.4,127,1
9698,10.9,-1111.1,2.5,30.9,2
40083,17.2,-1111.1,8.5,64.9,1
22622,9.8,-1111.1,4.8,48.6,2
22188,8.5,-1111.1,5.9,36.1,2
